bias,positive,negative,sentiment
1,319,245,1
1,4227,701,1
1,3423,509,1
1,2874,15,1
1,3326,288,1
1,962,395,1
1,2864,13,1
1,3429,343,1
1,2850,16,1
1,2864,5,1
1,2982,240,1
1,2866,12,1
1,126,18,1
1,3024,231,1
1,3351,96,1
1,3024,79,1
1,2889,45,1
1,562,8,1
1,2981,140,1
1,3167,378,1
1,2871,19,1
1,2850,6,1
1,5761,55,1
1,891,371,1
1,575,63,1
1,2985,123,1
1,3074,110,1
1,319,245,1
1,3565,264,1
1,3082,189,1
1,2916,52,1
1,2942,59,1
1,2854,16,1
1,3656,435,1
1,3020,61,1
1,2967,112,1
1,3157,417,1
1,564,248,1
1,4603,697,1
1,416,150,1
1,3216,484,1
1,3039,297,1
1,319,245,1
1,2976,107,1
1,3015,55,1
1,633,547,1
1,531,96,1
1,807,159,1
1,3074,292,1
1,2910,70,1
1,3093,315,1
1,3090,83,1
1,3429,343,1
1,3126,200,1
1,66,30,1
1,3785,931,1
1,859,327,1
1,546,2,1
1,52,10,1
1,4227,701,1
1,2921,86,1
1,652,48,1
1,2878,53,1
1,319,245,1
1,3024,79,1
1,3745,436,1
1,4650,1893,1
1,3358,106,1
1,3527,116,1
1,787,230,1
1,3280,235,1
1,4603,697,1
1,2874,25,1
1,559,65,1
1,832,246,1
1,3020,61,1
1,631,547,1
1,2879,46,1
1,3765,575,1
1,1218,429,1
1,557,10,1
1,2856,2,1
1,1052,477,1
1,3295,526,1
1,505,5,1
1,3420,568,1
1,319,245,1
1,3093,144,1
1,4722,1755,1
1,3015,55,1
1,2915,25,1
1,3062,111,1
1,622,79,1
1,3108,105,1
1,2903,38,1
1,3057,209,1
1,3501,652,1
1,248,171,1
1,2876,41,1
1,3429,343,1
1,2949,101,1
1,640,256,1
1,3376,557,1
1,2995,187,1
1,3201,138,1
1,2919,48,1
1,941,168,1
1,3362,99,1
1,3443,440,1
1,2894,43,1
1,932,316,1
1,4603,697,1
1,3024,79,1
1,2866,21,1
1,44,23,1
1,2855,10,1
1,2850,2,1
1,3005,158,1
1,3366,97,1
1,5773,69,1
1,1220,207,1
1,2852,3,1
1,625,45,1
1,2895,50,1
1,554,12,1
1,2935,43,1
1,821,150,1
1,718,142,1
1,3133,224,1
1,3236,474,1
1,591,26,1
1,2851,15,1
1,816,291,1
1,3020,61,1
1,3652,396,1
1,319,245,1
1,2872,16,1
1,3326,245,1
1,2864,14,1
1,2884,33,1
1,2905,50,1
1,2967,221,1
1,3095,209,1
1,763,131,1
1,2895,58,1
1,3220,348,1
1,1479,927,1
1,2866,12,1
1,669,55,1
1,3367,556,1
1,4603,697,1
1,800,378,1
1,3015,55,1
1,792,284,1
1,319,245,1
1,2876,16,1
1,2882,20,1
1,2892,114,1
1,500,0,1
1,3363,115,1
1,3136,220,1
1,2956,112,1
1,3065,92,1
1,2868,93,1
1,723,201,1
1,2851,4,1
1,2848,2,1
1,746,230,1
1,0,0,1
1,1509,26,1
1,2893,22,1
1,1629,0,1
1,2904,11,1
1,2869,24,1
1,3070,180,1
1,1275,787,1
1,2923,68,1
1,3545,378,1
1,547,8,1
1,2860,10,1
1,3726,451,1
1,2913,81,1
1,574,89,1
1,1075,96,1
1,319,245,1
1,4603,697,1
1,635,95,1
1,3397,164,1
1,560,3,1
1,29,47,1
1,2899,39,1
1,3497,363,1
1,3155,173,1
1,2938,57,1
1,2970,47,1
1,3017,146,1
1,3444,445,1
1,2887,33,1
1,2985,85,1
1,2892,12,1
1,203,309,1
1,3001,185,1
1,2922,43,1
1,319,245,1
1,569,10,1
1,3781,549,1
1,3248,164,1
1,3183,171,1
1,908,150,1
1,3093,225,1
1,812,363,1
1,3262,267,1
1,3041,289,1
1,2955,67,1
1,3380,490,1
1,1548,572,1
1,3151,339,1
1,3732,434,1
1,3445,528,1
1,806,156,1
1,4603,697,1
1,2861,14,1
1,683,229,1
1,3024,158,1
1,3023,184,1
1,797,347,1
1,3403,162,1
1,2951,99,1
1,319,245,1
1,926,204,1
1,2868,17,1
1,630,111,1
1,3351,156,1
1,4045,713,1
1,288,466,1
1,5711,27,1
1,770,96,1
1,531,506,1
1,615,68,1
1,3053,173,1
1,3074,87,1
1,3086,235,1
1,2875,2,1
1,2848,2,1
1,543,0,1
1,3335,180,1
1,2904,61,1
1,1076,136,1
1,2859,20,1
1,995,815,1
1,526,38,1
1,3003,108,1
1,319,245,1
1,3361,837,1
1,3054,394,1
1,2847,2,1
1,4227,701,1
1,3503,295,1
1,2864,4,1
1,2921,76,1
1,2944,67,1
1,867,155,1
1,929,207,1
1,3125,212,1
1,806,291,1
1,3460,120,1
1,3183,130,1
1,2917,70,1
1,2867,7,1
1,679,189,1
1,2852,6,1
1,2930,136,1
1,1087,98,1
1,1163,200,1
1,123,19,1
1,3092,290,1
1,4603,697,1
1,2859,3,1
1,3351,96,1
1,2848,2,1
1,2880,28,1
1,319,245,1
1,2935,134,1
1,633,89,1
1,2887,20,1
1,3581,672,1
1,1071,132,1
1,2860,12,1
1,2863,7,1
1,3599,305,1
1,1433,310,1
1,228,115,1
1,2931,110,1
1,2126,480,1
1,3212,209,1
1,3469,336,1
1,3090,264,1
1,508,5,1
1,687,308,1
1,3351,96,1
1,3073,96,1
1,506,5,1
1,319,245,1
1,3122,211,1
1,464,376,1
1,1367,287,1
1,514,12,1
1,3057,192,1
1,2984,95,1
1,657,44,1
1,2976,105,1
1,1052,733,1
1,2876,4,1
1,3377,350,1
1,559,43,1
1,89,52,1
1,3444,445,1
1,319,245,1
1,3221,390,1
1,94,72,1
1,1183,595,1
1,3151,178,1
1,501,5,1
1,3093,135,1
1,3203,286,1
1,500,1,1
1,2858,10,1
1,3745,436,1
1,3840,391,1
1,677,128,1
1,557,38,1
1,2982,17,1
1,319,245,1
1,3333,429,1
1,3059,345,1
1,3017,244,1
1,3351,96,1
1,4227,701,1
1,297,198,1
1,3609,715,1
1,2973,56,1
1,2921,56,1
1,391,270,1
1,3030,103,1
1,499,2,1
1,3351,96,1
1,3255,205,1
1,2848,2,1
1,790,341,1
1,2920,55,1
1,780,315,1
1,3021,56,1
1,3346,305,1
1,2886,47,1
1,2849,2,1
1,3449,126,1
1,3043,133,1
1,835,128,1
1,6114,211,1
1,2853,2,1
1,589,34,1
1,968,332,1
1,2863,6,1
1,752,308,1
1,2,0,1
1,2997,125,1
1,894,150,1
1,2915,9,1
1,3694,563,1
1,3724,502,1
1,3466,150,1
1,3204,230,1
1,203,309,1
1,3121,391,1
1,3304,209,1
1,3477,234,1
1,652,27,1
1,2872,7,1
1,3109,381,1
1,634,64,1
1,501,2,1
1,568,4,1
1,2978,67,1
1,3351,96,1
1,3700,428,1
1,1007,94,1
1,2911,39,1
1,2859,45,1
1,670,334,1
1,3374,121,1
1,104,0,1
1,2854,2,1
1,319,245,1
1,766,305,1
1,3060,128,1
1,2863,8,1
1,3101,285,1
1,631,158,1
1,218,241,1
1,3100,150,1
1,3248,294,1
1,2982,198,1
1,622,111,1
1,3103,301,1
1,2932,73,1
1,838,228,1
1,1003,471,1
1,3919,410,1
1,3486,111,1
1,3255,770,1
1,1002,94,1
1,2860,3,1
1,1303,302,1
1,319,245,1
1,1082,226,1
1,2956,262,1
1,1071,132,1
1,819,129,1
1,694,237,1
1,3002,127,1
1,3082,42,1
1,2901,41,1
1,3,7,1
1,3523,196,1
1,546,0,1
1,2913,87,1
1,3267,401,1
1,4123,599,1
1,3138,190,1
1,3141,33,1
1,373,172,1
1,957,221,1
1,2913,41,1
1,3507,153,1
1,545,0,1
1,3770,565,1
1,548,5,1
1,2943,134,1
1,3166,247,1
1,2873,6,1
1,701,154,1
1,1048,270,1
1,4227,701,1
1,2901,7,1
1,52,10,1
1,3045,53,1
1,319,245,1
1,576,21,1
1,2943,25,1
1,3491,504,1
1,964,87,1
1,131,20,1
1,160,28,1
1,3113,77,1
1,3274,514,1
1,1590,598,1
1,2924,30,1
1,2877,30,1
1,3298,238,1
1,3290,341,1
1,3399,141,1
1,3384,121,1
1,3333,388,1
1,3319,508,1
1,2849,3,1
1,543,0,1
1,3114,156,1
1,319,245,1
1,3068,118,1
1,2870,26,1
1,3766,645,1
1,3240,345,1
1,542,28,1
1,2981,119,1
1,3043,230,1
1,3026,59,1
1,3088,221,1
1,597,52,1
1,995,815,1
1,2941,55,1
1,3702,249,1
1,2917,19,1
1,3385,630,1
1,3335,484,1
1,153,81,1
1,3106,260,1
1,1218,933,1
1,679,124,1
1,3351,96,1
1,564,22,1
1,561,83,1
1,2848,3,1
1,6563,428,1
1,668,165,1
1,3745,436,1
1,2848,4,1
1,319,245,1
1,3205,342,1
1,3620,331,1
1,3034,116,1
1,3569,387,1
1,667,83,1
1,2935,145,1
1,575,279,1
1,1162,24,1
1,2889,41,1
1,3133,33,1
1,319,245,1
1,3213,372,1
1,2954,94,1
1,854,338,1
1,3216,172,1
1,908,405,1
1,2184,9,1
1,2864,18,1
1,4603,697,1
1,3098,294,1
1,740,199,1
1,501,1,1
1,535,477,1
1,2884,28,1
1,535,8,1
1,2938,138,1
1,613,98,1
1,545,0,1
1,805,292,1
1,319,245,1
1,2881,70,1
1,2877,27,1
1,554,7,1
1,3023,190,1
1,1406,366,1
1,551,4,1
1,2895,50,1
1,3451,676,1
1,1059,113,1
1,3384,138,1
1,481,830,1
1,3351,392,1
1,3884,620,1
1,2863,17,1
1,3135,94,1
1,2868,5,1
1,120,181,1
1,895,268,1
1,2964,173,1
1,3025,131,1
1,994,395,1
1,8685,267,1
1,3405,142,1
1,619,208,1
1,3010,79,1
1,319,245,1
1,2888,20,1
1,3457,301,1
1,2896,33,1
1,3013,147,1
1,549,38,1
1,543,47,1
1,3066,175,1
1,2941,64,1
1,2892,12,1
1,608,73,1
1,1170,285,1
1,3451,219,1
1,550,5,1
1,3748,412,1
1,685,164,1
1,3320,588,1
1,2936,100,1
1,705,87,1
1,2916,23,1
1,4603,697,1
1,3248,490,1
1,5852,36,1
1,1036,244,1
1,9114,147,1
1,2913,65,1
1,3287,362,1
1,504,94,1
1,922,408,1
1,2883,8,1
1,319,245,1
1,2919,61,1
1,2912,55,1
1,9624,796,1
1,3439,235,1
1,1376,234,1
1,2895,50,1
1,3142,144,1
1,2903,92,1
1,551,5,1
1,3204,183,1
1,499,1,1
1,748,237,1
1,3351,96,1
1,3782,589,1
1,3188,132,1
1,827,303,1
1,879,128,1
1,2869,29,1
1,2982,111,1
1,837,139,1
1,552,5,1
1,3200,232,1
1,2944,81,1
1,1185,473,1
1,5697,17,1
1,2932,89,1
1,6012,336,1
1,3239,335,1
1,4227,701,1
1,3745,436,1
1,3208,232,1
1,319,245,1
1,441,438,1
1,1296,682,1
1,637,154,1
1,3130,126,1
1,2984,95,1
1,2898,25,1
1,2982,17,1
1,6985,381,1
1,3066,37,1
1,798,231,1
1,2870,15,1
1,13,1,1
1,15,23,1
1,1341,525,1
1,625,163,1
1,911,207,1
1,2987,265,1
1,1189,412,1
1,3619,419,1
1,1510,338,1
1,3296,252,1
1,2943,83,1
1,2901,7,1
1,3251,344,1
1,3191,134,1
1,2858,13,1
1,2939,90,1
1,3057,219,1
1,3215,370,1
1,9083,608,1
1,3728,232,1
1,319,245,1
1,2849,2,1
1,3254,401,1
1,3617,390,1
1,2860,17,1
1,3306,513,1
1,3097,240,1
1,2848,2,1
1,2876,26,1
1,3771,767,1
1,528,429,1
1,848,268,1
1,319,245,1
1,780,237,1
1,2865,3,1
1,204,125,1
1,3130,236,1
1,795,288,1
1,871,231,1
1,3093,493,1
1,3335,567,1
1,516,9,1
1,2960,141,1
1,3709,375,1
1,2851,8,1
1,1002,94,1
1,686,34,1
1,746,176,1
1,3038,85,1
1,43,1,1
1,4227,701,1
1,3035,237,1
1,3415,193,1
1,13,1,1
1,2865,32,1
1,2914,94,1
1,2995,143,1
1,319,245,1
1,3332,170,1
1,576,37,1
1,2961,64,1
1,729,220,1
1,2985,237,1
1,2870,26,1
1,2873,2,1
1,3380,592,1
1,712,161,1
1,689,235,1
1,2977,214,1
1,3431,684,1
1,3689,430,1
1,3360,111,1
1,3160,210,1
1,624,98,1
1,2868,21,1
1,3387,127,1
1,3694,203,1
1,319,245,1
1,2862,4,1
1,3972,544,1
1,3187,233,1
1,436,321,1
1,2888,29,1
1,2994,38,1
1,5799,183,1
1,535,25,1
1,2953,98,1
1,3106,239,1
1,533,5,1
1,2848,2,1
1,3210,376,1
1,76,53,1
1,2983,198,1
1,3388,116,1
1,659,153,1
1,3118,109,1
1,3340,871,1
1,1735,817,1
1,551,0,1
1,3352,96,1
1,3167,247,1
1,2873,2,1
1,2867,11,1
1,3239,444,1
1,3240,345,1
1,1407,648,1
1,3834,558,1
1,2958,81,1
1,687,48,1
1,3257,230,1
1,2974,216,1
1,3206,161,1
1,3093,369,1
1,2939,96,1
1,3129,205,1
1,3111,312,1
1,2864,18,1
1,2940,91,1
1,2941,86,1
1,3060,129,1
1,3153,151,1
1,3054,42,1
1,2893,43,1
1,3438,142,1
1,3155,325,1
1,3208,254,1
1,1056,313,1
1,2917,58,1
1,3240,495,1
1,511,1,1
1,3128,171,1
1,3241,331,1
1,2907,22,1
1,3827,570,1
1,3080,290,1
1,3051,178,1
1,3367,106,1
1,1339,325,1
1,2862,3,1
1,680,85,1
1,3353,96,1
1,2873,2,1
1,1066,107,1
1,3193,131,1
1,3149,244,1
1,3352,97,1
1,995,815,1
1,5710,39,1
1,4006,661,1
1,546,0,1
1,683,115,1
1,2872,18,1
1,3061,296,1
1,856,265,1
1,2871,40,1
1,1439,712,1
1,769,289,1
1,3147,141,1
1,1081,118,1
1,2928,80,1
1,3162,48,1
1,824,298,1
1,3444,445,1
1,2880,35,1
1,756,301,1
1,3060,204,1
1,2931,91,1
1,2985,165,1
1,3413,275,1
1,737,314,1
1,2870,40,1
1,2859,4,1
1,319,245,1
1,572,113,1
1,3051,185,1
1,935,466,1
1,3062,236,1
1,3330,258,1
1,2984,27,1
1,120,56,1
1,1196,306,1
1,2885,14,1
1,3070,180,1
1,546,0,1
1,2873,2,1
1,546,0,1
1,2885,14,1
1,3698,834,1
1,319,245,1
1,3476,149,1
1,2923,111,1
1,10,5,1
1,2876,3,1
1,2872,23,1
1,3241,380,1
1,775,133,1
1,1546,350,1
1,2848,2,1
1,3377,350,1
1,2853,5,1
1,3019,202,1
1,2885,14,1
1,3065,90,1
1,2907,41,1
1,2975,224,1
1,3162,324,1
1,3161,323,1
1,3490,188,1
1,3244,255,1
1,2858,5,1
1,2860,20,1
1,2879,24,1
1,3150,215,1
1,2873,2,1
1,505,9,1
1,2999,286,1
1,3139,298,1
1,1321,339,1
1,3726,451,1
1,3353,96,1
1,4603,697,1
1,319,245,1
1,535,29,1
1,3444,343,1
1,271,162,1
1,958,340,1
1,2851,9,1
1,618,40,1
1,2991,212,1
1,52,10,1
1,3043,92,1
1,3639,642,1
1,3258,193,1
1,1501,411,1
1,823,155,1
1,3236,301,1
1,3578,482,1
1,3050,66,1
1,798,323,1
1,498,0,1
1,2984,255,1
1,610,10,1
1,3199,390,1
1,654,79,1
1,866,345,1
1,203,309,1
1,658,137,1
1,2871,11,1
1,3392,104,1
1,2873,2,1
1,319,245,1
1,719,36,1
1,1047,94,1
1,3081,305,1
1,2876,3,1
1,537,94,1
1,3761,350,1
1,3676,165,1
1,597,5,1
1,600,106,1
1,3328,404,1
1,1156,398,1
1,736,84,1
1,2001,733,1
1,3049,88,1
1,608,96,1
1,2867,4,1
1,1047,94,1
1,3046,194,1
1,2924,24,1
1,546,0,1
1,3336,588,1
1,1030,105,1
1,3315,310,1
1,949,151,1
1,319,245,1
1,2956,97,1
1,2892,26,1
1,2882,31,1
1,2998,130,1
1,3918,396,1
1,3199,334,1
1,3019,70,1
1,3220,280,1
1,2952,255,1
1,21,17,1
1,4603,697,1
1,3236,162,1
1,3392,104,1
1,3202,436,1
1,3155,384,1
1,228,119,1
1,605,79,1
1,2873,2,1
1,2945,117,1
1,319,245,1
1,2848,2,1
1,351,310,1
1,1048,94,1
1,3354,105,1
1,3096,353,1
1,544,0,1
1,2996,101,1
1,2968,62,1
1,2906,13,1
1,671,191,1
1,3655,422,1
1,3246,228,1
1,3173,366,1
1,2,1,1
1,2986,17,1
1,3961,481,1
1,2906,7,1
1,4227,701,1
1,1211,309,1
1,733,183,1
1,3195,163,1
1,2912,54,1
1,3490,188,1
1,2985,87,1
1,3340,584,1
1,500,0,1
1,2973,247,1
1,3104,136,1
1,2885,12,1
1,1,0,1
1,3371,507,1
1,3061,36,1
1,3485,511,1
1,2873,2,1
1,691,194,1
1,319,245,1
1,3170,243,1
1,3706,495,1
1,3054,255,1
1,2847,2,1
1,2947,84,1
1,2872,15,1
1,557,0,1
1,3736,296,1
1,2966,30,1
1,3387,116,1
1,2869,26,1
1,3178,450,1
1,589,27,1
1,1120,210,1
1,2884,73,1
1,3418,354,1
1,3560,759,1
1,128,23,1
1,3285,400,1
1,3184,130,1
1,2929,41,1
1,319,245,1
1,3692,375,1
1,3085,262,1
1,3087,242,1
1,1121,65,1
1,3071,241,1
1,3684,502,1
1,3157,324,1
1,2873,2,1
1,2925,72,1
1,3385,114,1
1,500,0,1
1,552,5,1
1,530,14,1
1,502,0,1
1,3089,196,1
1,3143,234,1
1,3028,186,1
1,3153,296,1
1,3351,96,1
1,643,60,1
1,526,5,1
1,3348,167,1
1,3496,204,1
1,3670,341,1
1,319,245,1
1,3956,665,1
1,3019,41,1
1,3036,223,1
1,3049,224,1
1,265,36,1
1,2919,19,1
1,662,18,1
1,974,400,1
1,1026,374,1
1,531,46,1
1,6165,204,1
1,498,0,1
1,2880,28,1
1,2866,61,1
1,1005,94,1
1,3238,301,1
1,822,248,1
1,2887,20,1
1,787,296,1
1,210,130,1
1,829,478,1
1,65,16,1
1,2887,20,1
1,2997,199,1
1,500,0,1
1,301,170,1
1,319,245,1
1,519,23,1
1,3333,451,1
1,2873,2,1
1,3169,306,1
1,3782,502,1
1,3189,225,1
1,3017,185,1
1,2894,73,1
1,1214,325,1
1,543,0,1
1,3107,261,1
1,1047,94,1
1,3353,8,1
1,3143,510,1
1,3270,543,1
1,3386,303,1
1,3367,112,1
1,3606,781,1
1,3594,493,1
1,319,245,1
1,3325,570,1
1,968,249,1
1,3687,587,1
1,3010,110,1
1,2873,2,1
1,839,339,1
1,544,0,1
1,2856,4,1
1,2848,2,1
1,3351,96,1
1,3394,637,1
1,995,815,1
1,3094,310,1
1,550,13,1
1,3207,190,1
1,3405,178,1
1,4188,1009,1
1,3061,36,1
1,635,78,1
1,3215,161,1
1,3247,354,1
1,3376,101,1
1,3334,312,1
1,3019,127,1
1,511,4,1
1,2979,105,1
1,3351,96,1
1,1062,95,1
1,586,32,1
1,626,110,1
1,2873,2,1
1,3344,316,1
1,319,245,1
1,820,190,1
1,5966,515,1
1,1504,334,1
1,3353,96,1
1,3021,499,1
1,3215,256,1
1,2885,50,1
1,2887,20,1
1,3091,154,1
1,3049,292,1
1,3639,493,1
1,2928,99,1
1,3099,136,1
1,3198,176,1
1,3296,388,1
1,8692,174,1
1,2851,2,1
1,627,158,1
1,1068,54,1
1,3284,271,1
1,3478,170,1
1,3751,714,1
1,3694,343,1
1,2934,111,1
1,3213,286,1
1,2870,22,1
1,3167,247,1
1,601,48,1
1,553,5,1
1,2239,680,1
1,252,168,1
1,4227,701,1
1,2943,127,1
1,671,114,1
1,1121,210,1
1,3500,717,1
1,2863,7,1
1,3367,414,1
1,1128,275,1
1,2910,82,1
1,3443,111,1
1,319,245,1
1,3434,437,1
1,3097,156,1
1,2873,2,1
1,3148,156,1
1,1390,743,1
1,2997,161,1
1,513,48,1
1,572,41,1
1,786,45,1
1,1214,208,1
1,2952,86,1
1,2890,8,1
1,2915,58,1
1,2904,9,1
1,4276,530,1
1,2880,30,1
1,1476,252,1
1,3745,436,1
1,2889,11,1
1,3188,197,1
1,319,245,1
1,3670,341,1
1,3111,160,1
1,3156,197,1
1,3481,202,1
1,1021,333,1
1,3418,671,1
1,767,313,1
1,3745,436,1
1,3351,96,1
1,734,207,1
1,2873,2,1
1,3262,501,1
1,2851,4,1
1,3365,299,1
1,2036,422,1
1,2905,31,1
1,553,0,1
1,2913,32,1
1,2923,78,1
1,3384,591,1
1,319,245,1
1,3320,219,1
1,606,53,1
1,632,46,1
1,3043,136,1
1,3036,184,1
1,2864,11,1
1,925,428,1
1,2871,11,1
1,3465,187,1
1,2880,16,1
1,511,1,1
1,3367,556,1
1,2875,11,1
1,8874,163,1
1,319,245,1
1,2873,2,1
1,4227,701,1
1,2963,77,1
1,3678,716,1
1,570,82,1
1,2915,25,1
1,891,207,1
1,3230,357,1
1,3745,436,1
1,1443,526,1
1,2904,25,1
1,3544,296,1
1,3630,369,1
1,6677,880,1
1,662,65,1
1,1076,506,1
1,3133,33,1
1,2871,48,1
1,319,245,1
1,3400,105,1
1,2869,9,1
1,731,50,1
1,2880,43,1
1,165,45,1
1,2971,133,1
1,544,0,1
1,3160,276,1
1,899,363,1
1,3025,95,1
1,2974,116,1
1,3034,194,1
1,3601,256,1
1,3099,387,1
1,1002,94,1
1,319,245,1
1,3223,428,1
1,3014,116,1
1,596,38,1
1,2975,171,1
1,546,0,1
1,882,132,1
1,2943,255,1
1,2953,125,1
1,2886,56,1
1,840,454,1
1,4191,888,1
1,3211,343,1
1,3216,343,1
1,2873,2,1
1,821,269,1
1,941,590,1
1,2920,164,1
1,2978,41,1
1,3025,215,1
1,2869,48,1
1,511,4,1
1,1095,409,1
1,3026,179,1
1,3745,436,1
1,2851,3,1
1,3352,387,1
1,2988,119,1
1,3490,318,1
1,2863,7,1
1,3615,551,1
1,3587,141,1
1,319,245,1
1,2926,135,1
1,3581,293,1
1,3351,96,1
1,2960,47,1
1,3477,156,1
1,1528,429,1
1,2951,154,1
1,2995,118,1
1,2954,91,1
1,2965,264,1
1,3130,304,1
1,3056,402,1
1,2873,2,1
1,3110,352,1
1,52,10,1
1,2882,7,1
1,3204,269,1
1,612,146,1
1,937,189,1
1,565,4,1
1,1162,154,1
1,1288,568,1
1,3132,231,1
1,178,89,1
1,3352,97,1
1,1245,563,1
1,2854,8,1
1,6170,401,1
1,3114,314,1
1,1099,225,1
1,2861,6,1
1,2933,166,1
1,3145,265,1
1,3205,144,1
1,4042,417,1
1,2972,211,1
1,531,37,1
1,501,0,1
1,3269,450,1
1,3257,287,1
1,2848,3,1
1,2880,37,1
1,1406,152,1
1,2894,28,1
1,2873,2,1
1,319,245,1
1,3708,498,1
1,323,249,1
1,3634,601,1
1,2887,20,1
1,2852,2,1
1,3093,252,1
1,2914,122,1
1,2848,2,1
1,3189,420,1
1,3745,436,1
1,3077,110,1
1,3351,96,1
1,792,391,1
1,986,316,1
1,691,122,1
1,3096,239,1
1,3020,297,1
1,3444,445,1
1,3281,226,1
1,265,156,1
1,4090,700,1
1,3183,130,1
1,5979,151,1
1,3020,146,1
1,3411,155,1
1,319,245,1
1,2939,52,1
1,2848,2,1
1,2929,25,1
1,2876,6,1
1,3607,321,1
1,2931,21,1
1,3288,565,1
1,2861,23,1
1,2866,21,1
1,20080,114,1
1,4040,528,1
1,2873,2,1
1,3745,436,1
1,3509,714,1
1,3484,567,1
1,3709,559,1
1,3045,41,1
1,781,374,1
1,8730,197,1
1,3425,547,1
1,650,133,1
1,319,245,1
1,813,327,1
1,2882,6,1
1,2959,50,1
1,163,92,1
1,2915,24,1
1,3305,217,1
1,3623,128,1
1,2852,5,1
1,2902,7,1
1,3113,168,1
1,2892,38,1
1,2870,17,1
1,2849,4,1
1,5886,44,1
1,580,48,1
1,3046,80,1
1,3093,118,1
1,3165,408,1
1,1078,106,1
1,3086,284,1
1,3034,184,1
1,319,245,1
1,3338,242,1
1,2862,21,1
1,1289,168,1
1,2873,2,1
1,145,35,1
1,146,34,1
1,3351,96,1
1,1157,200,1
1,3095,537,1
1,2948,18,1
1,1096,112,1
1,2878,31,1
1,643,95,1
1,1099,113,1
1,582,14,1
1,1047,94,1
1,38,16,1
1,2858,9,1
1,3400,105,1
1,639,266,1
1,3205,355,1
1,2884,35,1
1,629,37,1
1,3749,456,1
1,3011,129,1
1,3514,830,1
1,2982,96,1
1,319,245,1
1,2944,46,1
1,3410,141,1
1,3567,394,1
1,2875,24,1
1,233,154,1
1,2849,2,1
1,3662,374,1
1,3047,187,1
1,549,36,1
1,3365,653,1
1,110,5,1
1,3010,204,1
1,3193,142,1
1,3534,233,1
1,2873,2,1
1,3353,96,1
1,3379,98,1
1,3422,106,1
1,3030,279,1
1,952,294,1
1,2911,62,1
1,603,98,1
1,3216,389,1
1,3169,338,1
1,4090,700,1
1,319,245,1
1,2852,6,1
1,3055,194,1
1,1052,547,1
1,2849,3,1
1,699,189,1
1,2921,38,1
1,3318,424,1
1,885,437,1
1,3216,149,1
1,3674,688,1
1,701,198,1
1,3503,408,1
1,3408,483,1
1,3123,146,1
1,4227,701,1
1,3620,402,1
1,3705,463,1
1,3538,453,1
1,3075,230,1
1,979,345,1
1,3556,189,1
1,3426,58,1
1,2934,67,1
1,6055,256,1
1,2956,81,1
1,319,245,1
1,3771,250,1
1,2966,143,1
1,115,18,1
1,3355,877,1
1,1100,136,1
1,772,282,1
1,2908,39,1
1,3003,164,1
1,8697,70,1
1,3621,377,1
1,3051,202,1
1,621,17,1
1,3054,115,1
1,719,214,1
1,3113,141,1
1,3206,419,1
1,789,368,1
1,3227,326,1
1,4090,700,1
1,326,274,1
1,3604,406,1
1,2873,2,1
1,698,321,1
1,3334,293,1
1,319,245,1
1,2956,172,1
1,791,372,1
1,2921,118,1
1,789,120,1
1,603,33,1
1,735,173,1
1,2974,39,1
